"label";"de";"default";"en"
"add";"Hinzufügen";"Add";"Add"
"add_hint";"Hinzufügen...";"Add...";"Add..."
"busy_hint";"BESCHÄFTIGT...";"BUSY...";"BUSY..."
"cancel";"Abbrechen";"Cancel";"Cancel"
"choose_directory";"Verzeichnis auswählen";"Select directory";"Select directory"
"choose_file";"Datei auswählen";"Select file";"Select file"
"close";"Schließen";"Close";"Close"
"delete";"Löschen";"Delete";"Delete"
"dialog_title_export_settings";"Einstellungen exportieren";"Export Settings File";"Export Settings File"
"dialog_title_import_settings";"Einstellungen wählen";"Choose Settings File";"Choose Settings File"
"edit";"Bearbeiten";"Edit";"Edit"
"edit_hint";"Bearbeiten...";"Edit...";"Edit..."
"error_local_connection_error";"Fehler beim verbinden.";"Connection Error.";"Connection Error."
"error_local_disk_full";"Die Festplatte ist voll.";"The hard drive is full.";"The hard drive is full."
"error_local_file_not_found";"Datei nicht gefunden.";"File not found.";"File not found."
"error_local_serialization";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Result could not be analyzed."
"error_local_unknown";"Bei einem lokalen Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a local operation.";"An unknown error occurred during a local operation."
"error_local_wrong_filetype";"Der Dateityp wird nicht unterstützt.";"The filetype is not supported.";"The filetype is not supported."
"error_remote_no_internet";"Internetverbindung unterbrochen.";"Internet connection interrupted.";"Internet connection interrupted."
"error_remote_request_timeout";"Die Anfrage ist abgelaufen.";"The request has timed out.";"The request has timed out."
"error_remote_serialization";"Ergebnis konnte nicht analysiert werden.";"Result could not be analyzed.";"Result could not be analyzed."
"error_remote_unknown";"Bei einem Remote-Vorgang ist ein unbekannter Fehler aufgetreten.";"An unknown error occurred during a remote operation.";"An unknown error occurred during a remote operation."
"error_unknown_field";"Feld in der Konfiguration unbekannt.";"Field unknown in configuration.";"Field unknown in configuration."
"false";"Falsch.";"False";"False"
"field_unset";"Field is not defined.";"Field is not defined.";"Field is not defined."
"group_aisstream";"AIS Stream";"AIS Stream";"AIS Stream"
"group_display_theme";"Display Thema";"Display Theme";"Display Theme"
"group_settings";"Einstellungen";"Settings";"Settings"
"hint_safety_messages";"Die Sicherheitsnachrichten haben keine Koordinaten und beziehen sich daher auf die äußere Suchbox. Bitte beachte, daß die Meldungen sich nicht unbedingt auf die innere Suchbox beziehen müssen.";"Safety messages do not have coordinates. Due to that they were sent within the outer bounding box and do not necessarily refer to the inner bounding box.";"Safety messages do not have coordinates. Due to that they were sent within the outer bounding box and do not necessarily refer to the inner bounding box."
"label_buttonColor";"Button Farbe";"Button Color";"Button Color"
"label_clear";"Löschen";"Clear";"Clear"
"label_displayTheme";"Oberflächen Thema";"Display Theme";"Display Theme"
"label_language";"Sprache";"Language";"Language"
"label_length";"Länge";"Length";"Length"
"label_Other";"Anderes";"Other";"Other"
"label_settings";"Einstellungen";"Settings";"Settings"
"label_textColor";"Text Farbe";"Text Color";"Text Color"
"label_unit_days";"Tage";"Days";"Days"
"label_unit_degree_minute";"°/min";"°/min";"°/min"
"label_unit_hour";"Stunde";"Hour";"Hour"
"label_unit_hours";"Stunden";"Hours";"Hours"
"label_unit_kmh";"Km/h";"Km/h";"Km/h"
"label_unit_knots";"Knoten";"Knots";"Knots"
"label_unit_message";"Nachricht";"Message";"Message"
"label_unit_meters";"m";"m";"m"
"label_unit_minute";"Minute";"Minute";"Minute"
"label_unit_minutes";"Minuten";"Minutes";"Minutes"
"label_unit_second";"Sekunde";"Second";"Second"
"label_unit_seconds";"Sekunden";"Seconds";"Seconds"
"label_Unknown";"Unbekannt";"Unknown";"Unknown"
"label_url";"Feed URL";"Feed URL";"Feed URL"
"label_targetDirectory";"Zielverzeichnis";"Target Directory";"Target Directory"
"language_de";"Deutsch";"German";"German"
"language_en";"Englisch";"English";"English"
"menu_about";"Über";"About";"About"
"menu_help";"Hilfe";"Help";"Help"
"ok";"Ok";"OK";"OK"
"save";"Speichern";"Save";"Save"
"search";"Suchen";"Search";"Search"
"search_hint";"Suchen...";"Search...";"Search..."
"show_details_hint";"Details anzeigen...";"Show Details...";"Show Details..."
"stderr";"Fehlerausgabe";"Error Output";"Error Output"
"stdout";"Ausgabe";"Output";"Output"
"tab_settings";"Einstellungen";"Settings";"Settings"
"title_delete";"Element löschen";"Delete Element";"Delete Element"
"title_info";"Info";"Info";"Info"
"title_search";"Suchen";"Search";"Search"
"title_settings";"Einstellungen";"Settings";"Settings"
"true";"True";"True";"True"
"warning_delete";"Möchtest Du diesen Eintrag wirklich löschen?";"Do you really want to delete this entry?";"Do you really want to delete this entry?"
"warning_migration";"Deine Konfiguration wurde auf die neueste Version migriert.\nEine Rückkehr zu einer älteren Version ist mit der neuen Konfiguration nicht möglich.\nVon der alten Konfiguration wurde ein Backup angelegt.";"Your configuration has been migrated to the latest version.\nIt is not possible to revert to an older version with the new configuration.\nA backup of the old configuration has been created.";"Your configuration has been migrated to the latest version.\nIt is not possible to revert to an older version with the new configuration.\nA backup of the old configuration has been created."
"warning_no_results";"Keine Ergebnisse.";"No results.";"No results."
